2018-03-01 13:29:49.122016 UTC | [experiment_2018_03_01_13_29_45_0001] Populating workers...
2018-03-01 13:29:51.924059 UTC | [experiment_2018_03_01_13_29_45_0001] Populated
2018-03-01 13:29:55.014813 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #0 | Training started
2018-03-01 13:29:55.413749 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #0 | Training finished
2018-03-01 13:29:55.414177 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #1 | Training started
2018-03-01 13:29:55.803557 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #1 | Training finished
2018-03-01 13:29:55.803983 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #2 | Training started
2018-03-01 13:29:56.180252 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #2 | Training finished
2018-03-01 13:29:56.180701 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #3 | Training started
2018-03-01 13:29:56.551892 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #3 | Training finished
2018-03-01 13:29:56.552254 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #4 | Training started
2018-03-01 13:29:56.989673 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #4 | Training finished
2018-03-01 13:29:56.990072 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #5 | Training started
2018-03-01 13:29:57.358184 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #5 | Training finished
2018-03-01 13:29:57.358638 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #6 | Training started
2018-03-01 13:29:57.732282 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #6 | Training finished
2018-03-01 13:29:57.732675 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #7 | Training started
2018-03-01 13:29:58.151163 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #7 | Training finished
2018-03-01 13:29:58.151701 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #8 | Training started
2018-03-01 13:29:58.525741 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #8 | Training finished
2018-03-01 13:29:58.526127 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #9 | Training started
2018-03-01 13:29:59.069522 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #9 | Training finished
2018-03-01 13:29:59.070696 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #9 | Collecting samples for evaluation
2018-03-01 13:30:03.006645 UTC | -----------------------  ------------
2018-03-01 13:30:03.007035 UTC | Epoch                      9
2018-03-01 13:30:03.007164 UTC | AverageReturn            -38
2018-03-01 13:30:03.007256 UTC | StdReturn                  0
2018-03-01 13:30:03.007348 UTC | MaxReturn                -38
2018-03-01 13:30:03.007450 UTC | MinReturn                -38
2018-03-01 13:30:03.007525 UTC | AverageEsReturn          -35.6171
2018-03-01 13:30:03.007600 UTC | StdEsReturn               11.5301
2018-03-01 13:30:03.007679 UTC | MaxEsReturn               -6
2018-03-01 13:30:03.007754 UTC | MinEsReturn              -92
2018-03-01 13:30:03.007831 UTC | AverageDiscountedReturn  -34.9383
2018-03-01 13:30:03.007947 UTC | AverageQLoss               0.114874
2018-03-01 13:30:03.008030 UTC | AveragePolicySurr          0.092406
2018-03-01 13:30:03.008109 UTC | AverageQ                   0.00139136
2018-03-01 13:30:03.008189 UTC | AverageAbsQ                0.00408762
2018-03-01 13:30:03.008270 UTC | AverageY                  -0.261789
2018-03-01 13:30:03.008349 UTC | AverageAbsY                0.261789
2018-03-01 13:30:03.008683 UTC | AverageAbsQYDiff           0.26318
2018-03-01 13:30:03.009116 UTC | AverageAction              0.137718
2018-03-01 13:30:03.009555 UTC | PolicyRegParamNorm        26.4463
2018-03-01 13:30:03.010022 UTC | QFunRegParamNorm           7.97495
2018-03-01 13:30:03.010461 UTC | AverageForwardProgress     0
2018-03-01 13:30:03.011241 UTC | MaxForwardProgress         0
2018-03-01 13:30:03.012082 UTC | MinForwardProgress         0
2018-03-01 13:30:03.012826 UTC | StdForwardProgress         0
2018-03-01 13:30:03.013642 UTC | -----------------------  ------------
2018-03-01 13:30:03.014871 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #10 | Training started
2018-03-01 13:31:03.756794 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #10 | Training finished
2018-03-01 13:31:03.757753 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #10 | Collecting samples for evaluation
2018-03-01 13:31:08.584829 UTC | -----------------------  -------------
2018-03-01 13:31:08.586647 UTC | Epoch                     10
2018-03-01 13:31:08.587523 UTC | AverageReturn            -26
2018-03-01 13:31:08.588282 UTC | StdReturn                  0
2018-03-01 13:31:08.589033 UTC | MaxReturn                -26
2018-03-01 13:31:08.589820 UTC | MinReturn                -26
2018-03-01 13:31:08.590578 UTC | AverageEsReturn          -28.623
2018-03-01 13:31:08.591395 UTC | StdEsReturn               20.0803
2018-03-01 13:31:08.592177 UTC | MaxEsReturn               -2
2018-03-01 13:31:08.592922 UTC | MinEsReturn              -76
2018-03-01 13:31:08.593703 UTC | AverageDiscountedReturn  -24.6785
2018-03-01 13:31:08.594461 UTC | AverageQLoss               0.0296972
2018-03-01 13:31:08.595201 UTC | AveragePolicySurr          0.29366
2018-03-01 13:31:08.595941 UTC | AverageQ                  -0.338609
2018-03-01 13:31:08.596686 UTC | AverageAbsQ                0.338651
2018-03-01 13:31:08.597458 UTC | AverageY                  -0.340752
2018-03-01 13:31:08.598193 UTC | AverageAbsY                0.355627
2018-03-01 13:31:08.598964 UTC | AverageAbsQYDiff           0.0814465
2018-03-01 13:31:08.599760 UTC | AverageAction              0.999994
2018-03-01 13:31:08.600515 UTC | PolicyRegParamNorm        26.7459
2018-03-01 13:31:08.601376 UTC | QFunRegParamNorm           8.09327
2018-03-01 13:31:08.603229 UTC | AverageForwardProgress     3.84902
2018-03-01 13:31:08.604023 UTC | MaxForwardProgress         3.84902
2018-03-01 13:31:08.604819 UTC | MinForwardProgress         3.84902
2018-03-01 13:31:08.605637 UTC | StdForwardProgress         4.44089e-16
2018-03-01 13:31:08.606412 UTC | -----------------------  -------------
2018-03-01 13:31:08.607427 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #11 | Training started
2018-03-01 13:32:09.470259 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #11 | Training finished
2018-03-01 13:32:09.470476 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #11 | Collecting samples for evaluation
2018-03-01 13:32:13.891164 UTC | -----------------------  -------------
2018-03-01 13:32:13.892790 UTC | Epoch                     11
2018-03-01 13:32:13.894389 UTC | AverageReturn            -34
2018-03-01 13:32:13.895267 UTC | StdReturn                  0
2018-03-01 13:32:13.896099 UTC | MaxReturn                -34
2018-03-01 13:32:13.896902 UTC | MinReturn                -34
2018-03-01 13:32:13.897655 UTC | AverageEsReturn          -27.1818
2018-03-01 13:32:13.898397 UTC | StdEsReturn               22.3199
2018-03-01 13:32:13.899166 UTC | MaxEsReturn                0
2018-03-01 13:32:13.899937 UTC | MinEsReturn              -72
2018-03-01 13:32:13.900680 UTC | AverageDiscountedReturn  -31.5869
2018-03-01 13:32:13.901558 UTC | AverageQLoss               0.0210498
2018-03-01 13:32:13.902360 UTC | AveragePolicySurr          0.477426
2018-03-01 13:32:13.903117 UTC | AverageQ                  -0.509589
2018-03-01 13:32:13.903858 UTC | AverageAbsQ                0.510952
2018-03-01 13:32:13.904751 UTC | AverageY                  -0.511033
2018-03-01 13:32:13.905644 UTC | AverageAbsY                0.531752
2018-03-01 13:32:13.906903 UTC | AverageAbsQYDiff           0.0574644
2018-03-01 13:32:13.907894 UTC | AverageAction              0.999998
2018-03-01 13:32:13.908900 UTC | PolicyRegParamNorm        27.0112
2018-03-01 13:32:13.909720 UTC | QFunRegParamNorm           8.2009
2018-03-01 13:32:13.910525 UTC | AverageForwardProgress     5.77355
2018-03-01 13:32:13.911406 UTC | MaxForwardProgress         5.77355
2018-03-01 13:32:13.912263 UTC | MinForwardProgress         5.77355
2018-03-01 13:32:13.913155 UTC | StdForwardProgress         1.77636e-15
2018-03-01 13:32:13.913975 UTC | -----------------------  -------------
2018-03-01 13:32:13.915132 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #12 | Training started
2018-03-01 13:33:14.634837 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #12 | Training finished
2018-03-01 13:33:14.635946 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #12 | Collecting samples for evaluation
2018-03-01 13:33:19.588393 UTC | -----------------------  -------------
2018-03-01 13:33:19.589000 UTC | Epoch                     12
2018-03-01 13:33:19.590457 UTC | AverageReturn             -4
2018-03-01 13:33:19.591091 UTC | StdReturn                  0
2018-03-01 13:33:19.591797 UTC | MaxReturn                 -4
2018-03-01 13:33:19.592582 UTC | MinReturn                 -4
2018-03-01 13:33:19.592890 UTC | AverageEsReturn          -26.5294
2018-03-01 13:33:19.594033 UTC | StdEsReturn               17.7387
2018-03-01 13:33:19.594705 UTC | MaxEsReturn                0
2018-03-01 13:33:19.595426 UTC | MinEsReturn              -76
2018-03-01 13:33:19.596150 UTC | AverageDiscountedReturn   -4.26628
2018-03-01 13:33:19.596781 UTC | AverageQLoss               0.0211547
2018-03-01 13:33:19.597412 UTC | AveragePolicySurr          0.618145
2018-03-01 13:33:19.598019 UTC | AverageQ                  -0.649321
2018-03-01 13:33:19.598686 UTC | AverageAbsQ                0.65442
2018-03-01 13:33:19.599299 UTC | AverageY                  -0.650206
2018-03-01 13:33:19.599995 UTC | AverageAbsY                0.67534
2018-03-01 13:33:19.600670 UTC | AverageAbsQYDiff           0.0550376
2018-03-01 13:33:19.601328 UTC | AverageAction              0.968086
2018-03-01 13:33:19.601616 UTC | PolicyRegParamNorm        27.15
2018-03-01 13:33:19.602387 UTC | QFunRegParamNorm           8.30489
2018-03-01 13:33:19.603073 UTC | AverageForwardProgress     3.3679
2018-03-01 13:33:19.603755 UTC | MaxForwardProgress         3.3679
2018-03-01 13:33:19.604400 UTC | MinForwardProgress         3.3679
2018-03-01 13:33:19.605067 UTC | StdForwardProgress         4.44089e-16
2018-03-01 13:33:19.605762 UTC | -----------------------  -------------
2018-03-01 13:33:19.606693 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #13 | Training started
2018-03-01 13:34:20.365426 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #13 | Training finished
2018-03-01 13:34:20.366285 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #13 | Collecting samples for evaluation
2018-03-01 13:34:25.291914 UTC | -----------------------  -------------
2018-03-01 13:34:25.292275 UTC | Epoch                     13
2018-03-01 13:34:25.292393 UTC | AverageReturn            -10
2018-03-01 13:34:25.292489 UTC | StdReturn                  0
2018-03-01 13:34:25.292573 UTC | MaxReturn                -10
2018-03-01 13:34:25.292656 UTC | MinReturn                -10
2018-03-01 13:34:25.292740 UTC | AverageEsReturn          -22.5588
2018-03-01 13:34:25.292840 UTC | StdEsReturn               17.603
2018-03-01 13:34:25.292967 UTC | MaxEsReturn                0
2018-03-01 13:34:25.293075 UTC | MinEsReturn              -78
2018-03-01 13:34:25.293210 UTC | AverageDiscountedReturn  -10.0798
2018-03-01 13:34:25.293317 UTC | AverageQLoss               0.0248593
2018-03-01 13:34:25.293423 UTC | AveragePolicySurr          0.714986
2018-03-01 13:34:25.293529 UTC | AverageQ                  -0.760255
2018-03-01 13:34:25.293633 UTC | AverageAbsQ                0.77158
2018-03-01 13:34:25.293736 UTC | AverageY                  -0.761391
2018-03-01 13:34:25.293841 UTC | AverageAbsY                0.793372
2018-03-01 13:34:25.293961 UTC | AverageAbsQYDiff           0.0617876
2018-03-01 13:34:25.294063 UTC | AverageAction              0.957976
2018-03-01 13:34:25.294168 UTC | PolicyRegParamNorm        27.3501
2018-03-01 13:34:25.294271 UTC | QFunRegParamNorm           8.39379
2018-03-01 13:34:25.294375 UTC | AverageForwardProgress     4.81129
2018-03-01 13:34:25.294470 UTC | MaxForwardProgress         4.81129
2018-03-01 13:34:25.294560 UTC | MinForwardProgress         4.81129
2018-03-01 13:34:25.294662 UTC | StdForwardProgress         8.88178e-16
2018-03-01 13:34:25.294768 UTC | -----------------------  -------------
2018-03-01 13:34:25.295127 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #14 | Training started
2018-03-01 13:35:24.844499 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #14 | Training finished
2018-03-01 13:35:24.844698 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #14 | Collecting samples for evaluation
2018-03-01 13:35:30.561387 UTC | -----------------------  -------------
2018-03-01 13:35:30.563365 UTC | Epoch                     14
2018-03-01 13:35:30.564436 UTC | AverageReturn            -12
2018-03-01 13:35:30.565464 UTC | StdReturn                  0
2018-03-01 13:35:30.566279 UTC | MaxReturn                -12
2018-03-01 13:35:30.567119 UTC | MinReturn                -12
2018-03-01 13:35:30.567955 UTC | AverageEsReturn          -30.2857
2018-03-01 13:35:30.568804 UTC | StdEsReturn               22.2164
2018-03-01 13:35:30.569687 UTC | MaxEsReturn               -2
2018-03-01 13:35:30.570590 UTC | MinEsReturn              -74
2018-03-01 13:35:30.571457 UTC | AverageDiscountedReturn  -11.979
2018-03-01 13:35:30.573106 UTC | AverageQLoss               0.0283179
2018-03-01 13:35:30.573933 UTC | AveragePolicySurr          0.798449
2018-03-01 13:35:30.574729 UTC | AverageQ                  -0.849164
2018-03-01 13:35:30.575495 UTC | AverageAbsQ                0.86657
2018-03-01 13:35:30.576351 UTC | AverageY                  -0.850139
2018-03-01 13:35:30.577197 UTC | AverageAbsY                0.889639
2018-03-01 13:35:30.578003 UTC | AverageAbsQYDiff           0.0716188
2018-03-01 13:35:30.578876 UTC | AverageAction              1
2018-03-01 13:35:30.579737 UTC | PolicyRegParamNorm        27.4356
2018-03-01 13:35:30.580548 UTC | QFunRegParamNorm           8.52727
2018-03-01 13:35:30.581395 UTC | AverageForwardProgress     5.29242
2018-03-01 13:35:30.582240 UTC | MaxForwardProgress         5.29242
2018-03-01 13:35:30.583088 UTC | MinForwardProgress         5.29242
2018-03-01 13:35:30.583775 UTC | StdForwardProgress         8.88178e-16
2018-03-01 13:35:30.584513 UTC | -----------------------  -------------
2018-03-01 13:35:30.585221 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #15 | Training started
2018-03-01 13:36:31.414379 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #15 | Training finished
2018-03-01 13:36:31.414595 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #15 | Collecting samples for evaluation
2018-03-01 13:36:36.615888 UTC | -----------------------  -------------
2018-03-01 13:36:36.617700 UTC | Epoch                     15
2018-03-01 13:36:36.618589 UTC | AverageReturn            -12
2018-03-01 13:36:36.619442 UTC | StdReturn                  0
2018-03-01 13:36:36.620299 UTC | MaxReturn                -12
2018-03-01 13:36:36.621203 UTC | MinReturn                -12
2018-03-01 13:36:36.622018 UTC | AverageEsReturn          -28.459
2018-03-01 13:36:36.622888 UTC | StdEsReturn               22.9451
2018-03-01 13:36:36.623706 UTC | MaxEsReturn               -2
2018-03-01 13:36:36.624518 UTC | MinEsReturn              -72
2018-03-01 13:36:36.625475 UTC | AverageDiscountedReturn  -11.979
2018-03-01 13:36:36.626564 UTC | AverageQLoss               0.0287763
2018-03-01 13:36:36.627639 UTC | AveragePolicySurr          0.89398
