2018-03-01 12:28:57.504691 UTC | [experiment_2018_03_01_12_28_55_0001] Populating workers...
2018-03-01 12:28:59.638120 UTC | [experiment_2018_03_01_12_28_55_0001] Populated
2018-03-01 12:29:01.590438 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #0 | Training started
2018-03-01 12:29:01.806038 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #0 | Training finished
2018-03-01 12:29:01.806265 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #1 | Training started
2018-03-01 12:29:02.023418 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #1 | Training finished
2018-03-01 12:29:02.023646 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #2 | Training started
2018-03-01 12:29:02.235959 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #2 | Training finished
2018-03-01 12:29:02.236179 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #3 | Training started
2018-03-01 12:29:02.445835 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #3 | Training finished
2018-03-01 12:29:02.446083 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #4 | Training started
2018-03-01 12:29:02.659787 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #4 | Training finished
2018-03-01 12:29:02.660014 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #5 | Training started
2018-03-01 12:29:02.876155 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #5 | Training finished
2018-03-01 12:29:02.876390 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #6 | Training started
2018-03-01 12:29:03.088906 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #6 | Training finished
2018-03-01 12:29:03.089153 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #7 | Training started
2018-03-01 12:29:03.305673 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #7 | Training finished
2018-03-01 12:29:03.305896 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #8 | Training started
2018-03-01 12:29:03.519510 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #8 | Training finished
2018-03-01 12:29:03.519729 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #9 | Training started
2018-03-01 12:29:03.775048 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #9 | Training finished
2018-03-01 12:29:03.775252 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #9 | Collecting samples for evaluation
2018-03-01 12:29:05.955895 UTC | -----------------------  -----------
2018-03-01 12:29:05.956209 UTC | Epoch                      9
2018-03-01 12:29:05.956314 UTC | AverageReturn             10
2018-03-01 12:29:05.956779 UTC | StdReturn                  0
2018-03-01 12:29:05.956926 UTC | MaxReturn                 10
2018-03-01 12:29:05.957031 UTC | MinReturn                 10
2018-03-01 12:29:05.957159 UTC | AverageEsReturn            9.4617
2018-03-01 12:29:05.957258 UTC | StdEsReturn                3.23671
2018-03-01 12:29:05.957354 UTC | MaxEsReturn               10
2018-03-01 12:29:05.957468 UTC | MinEsReturn              -10
2018-03-01 12:29:05.957565 UTC | AverageDiscountedReturn    8.17907
2018-03-01 12:29:05.957653 UTC | AverageQLoss               0.0572544
2018-03-01 12:29:05.957751 UTC | AveragePolicySurr          0.0166108
2018-03-01 12:29:05.957838 UTC | AverageQ                  -0.108103
2018-03-01 12:29:05.957928 UTC | AverageAbsQ                0.108103
2018-03-01 12:29:05.958019 UTC | AverageY                  -0.0556763
2018-03-01 12:29:05.958108 UTC | AverageAbsY                0.149426
2018-03-01 12:29:05.958198 UTC | AverageAbsQYDiff           0.0530818
2018-03-01 12:29:05.958282 UTC | AverageAction              0.114351
2018-03-01 12:29:05.958388 UTC | PolicyRegParamNorm        26.4462
2018-03-01 12:29:05.958485 UTC | QFunRegParamNorm           8.01405
2018-03-01 12:29:05.958578 UTC | AverageForwardProgress     0
2018-03-01 12:29:05.958665 UTC | MaxForwardProgress         0
2018-03-01 12:29:05.958755 UTC | MinForwardProgress         0
2018-03-01 12:29:05.958845 UTC | StdForwardProgress         0
2018-03-01 12:29:05.958932 UTC | -----------------------  -----------
2018-03-01 12:29:05.959340 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #10 | Training started
2018-03-01 12:29:42.785517 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #10 | Training finished
2018-03-01 12:29:42.785751 UTC | [experiment_2018_03_01_12_28_55_0001] epoch #10 | Collecting samples for evaluation
2018-03-01 12:29:46.201991 UTC | -----------------------  -----------
2018-03-01 12:29:46.202316 UTC | Epoch                     10
2018-03-01 12:29:46.202429 UTC | AverageReturn             10
2018-03-01 12:29:46.202516 UTC | StdReturn                  0
2018-03-01 12:29:46.202601 UTC | MaxReturn                 10
2018-03-01 12:29:46.202678 UTC | MinReturn                 10
2018-03-01 12:29:46.202751 UTC | AverageEsReturn            8.54749
2018-03-01 12:29:46.202828 UTC | StdEsReturn                5.19042
